student_id,gender,nationality,grade_level,topic,raised_hand,visited_resources,announcements_view,discussion,parent_answering_survey,parent_school_satisfaction,student_absence_days,class_level
STU0352,M,Nigeria,G-11,English,37,109,11,28,No,N/A,Above-7,M
STU0353,F,Nigeria,G-12,History,31,97,2,63,No,N/A,Above-7,M
STU0354,M,Japan,G-07,History,3,101,98,29,No,N/A,Above-7,H
STU0355,F,UK,G-08,Science,18,21,12,71,Yes,Good,Above-7,M
STU0356,M,UK,G-06,English,78,121,66,72,Yes,Good,Above-7,H
STU0357,F,Germany,G-08,Biology,43,38,4,41,No,N/A,Under-7,M
STU0358,F,China,G-12,Chemistry,62,139,63,40,Yes,Bad,Above-7,H
STU0359,F,UK,G-05,English,89,19,48,16,Yes,Good,Under-7,M
STU0360,M,China,G-11,Chemistry,14,9,54,63,Yes,Bad,Under-7,M
STU0361,F,Germany,G-04,Science,15,111,37,34,No,N/A,Above-7,M
STU0362,M,India,G-08,History,87,52,78,47,No,N/A,Above-7,H
STU0363,F,China,G-09,Biology,92,34,21,67,No,N/A,Under-7,H
STU0364,F,Germany,G-06,Math,60,17,0,39,Yes,Good,Under-7,M
STU0365,F,Brazil,G-05,IT,79,119,76,20,Yes,Bad,Under-7,H
STU0366,F,US,G-07,Science,36,109,74,39,No,N/A,Above-7,H
STU0367,F,China,G-05,History,19,26,93,27,No,N/A,Under-7,M
STU0368,F,UK,G-06,Chemistry,66,150,82,49,No,N/A,Above-7,H
STU0369,F,China,G-06,IT,100,59,27,11,Yes,Good,Under-7,M
STU0370,F,US,G-09,IT,6,35,65,56,No,N/A,Above-7,M
STU0371,F,Nigeria,G-12,Chemistry,15,61,71,50,No,N/A,Above-7,M
STU0372,F,Brazil,G-08,Chemistry,66,81,67,10,Yes,Good,Above-7,H
STU0373,M,Germany,G-12,English,62,64,87,15,No,N/A,Above-7,H
STU0374,M,US,G-09,Chemistry,59,88,93,54,Yes,Good,Above-7,H
STU0375,F,India,G-04,Math,56,92,67,24,Yes,Bad,Above-7,H
STU0376,M,Brazil,G-08,History,1,69,4,35,No,N/A,Above-7,M
STU0377,M,Nigeria,G-08,Biology,7,146,3,60,No,N/A,Above-7,H
STU0378,M,Japan,G-12,Chemistry,13,9,47,3,Yes,Good,Under-7,L
STU0379,M,Germany,G-05,IT,56,15,40,12,No,N/A,Under-7,M
STU0380,M,Brazil,G-09,Biology,21,150,92,46,Yes,Bad,Above-7,H
STU0381,M,UK,G-07,Chemistry,97,128,18,34,Yes,Good,Above-7,H
STU0382,M,Nigeria,G-07,Biology,64,104,22,0,No,N/A,Above-7,M
STU0383,F,UK,G-09,English,72,22,72,59,Yes,Good,Under-7,H
STU0384,M,UK,G-06,Science,75,5,98,21,Yes,Good,Above-7,M
STU0385,F,UK,G-07,Science,87,48,95,16,No,N/A,Under-7,H
STU0386,F,Nigeria,G-06,Science,17,144,40,52,Yes,Good,Above-7,H
STU0387,M,India,G-08,Science,89,112,33,11,No,N/A,Above-7,H
STU0388,F,Brazil,G-12,English,80,43,4,74,No,N/A,Under-7,H
STU0389,M,Germany,G-09,Biology,87,73,26,43,No,N/A,Under-7,H
STU0390,M,Nigeria,G-07,English,33,8,14,66,Yes,Bad,Under-7,M
STU0391,F,Brazil,G-09,History,48,150,4,41,Yes,Bad,Under-7,H
STU0392,M,Germany,G-11,Science,43,25,23,45,No,N/A,Under-7,M
STU0393,F,India,G-04,English,78,116,75,73,No,N/A,Above-7,H
STU0394,F,China,G-08,Biology,47,86,61,51,No,N/A,Under-7,H
STU0395,M,UK,G-10,English,99,68,73,51,Yes,Good,Under-7,H
STU0396,F,China,G-06,Math,84,85,100,6,Yes,Bad,Under-7,H
STU0397,F,Japan,G-10,Math,58,0,84,18,Yes,Good,Above-7,M
STU0398,F,UK,G-06,Math,26,111,11,31,Yes,Bad,Under-7,M
STU0399,F,India,G-09,IT,60,140,87,50,Yes,Bad,Above-7,H
STU0400,F,China,G-05,English,16,81,97,17,No,N/A,Above-7,H
STU0401,F,Germany,G-10,History,9,88,62,75,Yes,Good,Under-7,H
STU0402,M,Brazil,G-09,Science,64,0,78,76,No,N/A,Under-7,H
STU0403,M,India,G-11,Math,5,54,38,55,Yes,Bad,Above-7,M
STU0404,M,Germany,G-06,Science,39,99,86,61,Yes,Bad,Above-7,H
STU0405,M,India,G-10,Biology,66,27,59,10,No,N/A,Under-7,M
STU0406,F,US,G-06,Science,16,147,64,49,No,N/A,Under-7,H
STU0407,F,Germany,G-10,Chemistry,6,77,54,33,Yes,Bad,Above-7,M
STU0408,F,Brazil,G-12,Science,14,45,54,68,No,N/A,Under-7,M
STU0409,M,US,G-09,Biology,75,66,25,65,No,N/A,Above-7,H
STU0410,M,Japan,G-08,IT,15,125,58,46,Yes,Bad,Above-7,H
STU0411,F,Brazil,G-08,Chemistry,3,138,34,22,No,N/A,Above-7,M
STU0412,F,US,G-11,Science,38,9,76,14,No,N/A,Under-7,M
STU0413,F,China,G-06,IT,68,24,16,18,No,N/A,Above-7,M
STU0414,F,Brazil,G-11,Biology,79,62,93,67,No,N/A,Under-7,H
STU0415,M,Brazil,G-09,IT,18,25,48,65,Yes,Bad,Above-7,M
STU0416,F,Germany,G-04,Math,95,65,92,10,No,N/A,Under-7,H
STU0417,M,Nigeria,G-08,History,65,138,31,6,No,N/A,Above-7,H
STU0418,M,Germany,G-08,Biology,88,47,35,64,Yes,Bad,Under-7,H
STU0419,F,Nigeria,G-04,English,26,4,100,53,Yes,Bad,Above-7,M
STU0420,F,Brazil,G-05,Math,28,4,90,41,Yes,Good,Above-7,M
STU0421,F,Germany,G-09,History,49,121,71,1,No,N/A,Above-7,H
STU0422,F,Brazil,G-11,Math,59,127,26,68,Yes,Bad,Above-7,H
STU0423,F,US,G-05,Biology,62,143,44,10,Yes,Bad,Above-7,H
STU0424,F,Brazil,G-11,Biology,59,7,19,79,Yes,Bad,Above-7,M
STU0425,F,US,G-08,History,95,125,30,48,Yes,Bad,Under-7,H
STU0426,M,Germany,G-07,Math,14,146,37,22,Yes,Bad,Above-7,H
STU0427,F,China,G-10,History,35,81,98,46,Yes,Bad,Above-7,H
STU0428,M,Germany,G-11,Chemistry,59,73,57,20,Yes,Bad,Above-7,H
STU0429,M,Brazil,G-11,Biology,22,25,49,74,No,N/A,Above-7,M
STU0430,F,China,G-04,History,28,35,78,79,Yes,Bad,Under-7,H
STU0431,F,China,G-06,History,80,120,87,11,No,N/A,Under-7,H
STU0432,F,China,G-06,English,47,61,22,60,Yes,Bad,Under-7,M
STU0433,F,UK,G-04,Math,73,118,58,31,No,N/A,Under-7,H
STU0434,M,Japan,G-12,Biology,14,84,20,31,No,N/A,Under-7,M
STU0435,M,US,G-10,Chemistry,66,120,49,9,No,N/A,Above-7,H
STU0436,M,US,G-11,English,92,15,37,50,Yes,Bad,Above-7,M
STU0437,F,Germany,G-05,IT,18,67,97,74,Yes,Good,Above-7,H
STU0438,F,Brazil,G-06,Math,61,53,33,12,No,N/A,Under-7,M
STU0439,F,Japan,G-07,Chemistry,33,87,37,56,No,N/A,Above-7,H
STU0440,F,Nigeria,G-04,Chemistry,17,37,66,36,Yes,Good,Above-7,M
STU0441,F,Nigeria,G-08,Biology,20,145,81,39,No,N/A,Above-7,H
STU0442,F,India,G-06,Math,77,74,49,32,Yes,Good,Under-7,H
STU0443,F,India,G-04,Science,46,130,95,66,No,N/A,Above-7,H
STU0444,M,Brazil,G-06,History,64,80,66,47,No,N/A,Above-7,H
STU0445,M,Japan,G-06,English,48,3,85,8,No,N/A,Under-7,M
STU0446,F,China,G-07,Math,35,30,83,25,No,N/A,Above-7,M
STU0447,F,US,G-12,Math,94,51,46,4,No,N/A,Under-7,M
STU0448,F,UK,G-08,History,68,137,10,7,No,N/A,Under-7,H
STU0449,M,Nigeria,G-06,Biology,83,62,29,58,Yes,Good,Above-7,H
STU0450,F,UK,G-07,Biology,8,33,66,38,Yes,Good,Under-7,M
STU0451,M,Japan,G-11,IT,68,13,40,9,Yes,Bad,Under-7,M
STU0452,F,UK,G-11,Math,12,138,75,27,No,N/A,Above-7,H
STU0453,M,Germany,G-05,Biology,56,49,75,78,No,N/A,Under-7,H
STU0454,F,Germany,G-08,English,80,45,42,64,No,N/A,Above-7,H
STU0455,F,Nigeria,G-12,Math,43,70,86,71,No,N/A,Above-7,H
STU0456,M,India,G-11,IT,40,130,60,63,Yes,Good,Under-7,H
STU0457,F,Nigeria,G-05,Chemistry,56,87,81,68,Yes,Good,Under-7,H
STU0458,M,China,G-08,History,39,81,98,67,No,N/A,Under-7,H
STU0459,F,China,G-06,Science,20,49,98,50,Yes,Good,Under-7,H
STU0460,F,Japan,G-10,Chemistry,92,68,29,33,No,N/A,Above-7,H
STU0461,F,India,G-08,Science,93,90,95,40,No,N/A,Above-7,H
STU0462,F,Germany,G-10,IT,97,103,7,52,No,N/A,Under-7,H
STU0463,F,Nigeria,G-04,Chemistry,90,51,26,32,No,N/A,Above-7,M
STU0464,M,Brazil,G-10,Chemistry,48,83,71,71,Yes,Good,Above-7,H
STU0465,F,UK,G-05,Math,20,83,92,61,No,N/A,Under-7,H
STU0466,F,Japan,G-07,Science,77,150,48,7,Yes,Good,Above-7,H
STU0467,F,Brazil,G-11,Science,14,120,17,9,No,N/A,Above-7,M
STU0468,M,India,G-08,History,25,143,11,56,Yes,Bad,Above-7,H
STU0469,F,US,G-06,Chemistry,98,17,100,40,No,N/A,Above-7,H
STU0470,M,India,G-09,English,29,117,46,42,Yes,Bad,Above-7,H
STU0471,M,India,G-05,Biology,52,109,50,62,Yes,Good,Above-7,H
STU0472,M,Germany,G-04,History,41,137,62,36,No,N/A,Under-7,H
STU0473,M,UK,G-12,Chemistry,14,136,20,65,Yes,Bad,Under-7,H
STU0474,M,Germany,G-08,English,57,38,83,42,Yes,Good,Above-7,H
STU0475,F,Germany,G-04,English,73,75,0,79,No,N/A,Under-7,H
STU0476,M,China,G-09,English,19,66,28,74,No,N/A,Above-7,M
STU0477,M,Brazil,G-06,Math,98,37,26,39,Yes,Good,Under-7,M
STU0478,M,India,G-12,Science,8,83,40,29,Yes,Good,Above-7,M
STU0479,M,Germany,G-08,Math,27,90,3,17,No,N/A,Under-7,M
STU0480,F,US,G-11,Chemistry,95,53,48,6,No,N/A,Above-7,H
STU0481,F,China,G-07,Chemistry,48,31,11,22,Yes,Good,Under-7,M
STU0482,M,Japan,G-09,Biology,40,106,24,26,Yes,Bad,Above-7,M
STU0483,F,UK,G-11,IT,0,97,53,51,Yes,Bad,Above-7,H
STU0484,F,UK,G-10,Chemistry,83,76,29,10,No,N/A,Above-7,M
STU0485,M,Nigeria,G-09,IT,18,63,22,72,Yes,Good,Under-7,M
STU0486,M,Japan,G-04,IT,76,53,94,37,No,N/A,Above-7,H
STU0487,M,Germany,G-06,Math,66,38,94,23,No,N/A,Under-7,H
STU0488,M,US,G-11,Math,39,103,80,47,No,N/A,Above-7,H
STU0489,M,US,G-09,IT,60,8,94,18,No,N/A,Under-7,M
STU0490,F,India,G-06,IT,1,89,28,11,No,N/A,Under-7,M
STU0491,M,Japan,G-11,English,68,112,17,77,Yes,Bad,Above-7,H
STU0492,F,Nigeria,G-06,Science,84,138,46,78,Yes,Bad,Above-7,H
STU0493,M,India,G-07,History,16,36,28,10,Yes,Bad,Above-7,L
STU0494,M,China,G-07,Science,23,77,42,59,No,N/A,Under-7,H
STU0495,F,Germany,G-09,Biology,18,148,94,4,No,N/A,Under-7,H
STU0496,M,India,G-04,Math,81,8,30,20,No,N/A,Above-7,M
STU0497,M,Japan,G-11,Chemistry,44,48,80,73,No,N/A,Above-7,H
STU0498,M,Japan,G-08,History,56,30,95,35,No,N/A,Above-7,H
STU0499,M,Nigeria,G-09,Chemistry,62,140,58,12,No,N/A,Above-7,H
STU0500,M,Brazil,G-10,Biology,3,139,16,12,Yes,Bad,Under-7,M
